HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,URL,approx_year_built,cats_allowed,common_charges,community_district_num,coop_condo,date_of_sale,dining_room_type,dogs_allowed,fuel_type,full_address_or_zip_code,garage_exists,kitchen_type,maintenance_cost,model_type,num_bedrooms,num_floors_in_building,num_full_bathrooms,num_half_bathrooms,num_total_rooms,parking_charges,pct_tax_deductibl,sale_price,sq_footage,total_taxes,walk_score,listing_price_to_nearest_1000,url
3OID399FXG7F26JWONXF0Y86J90FD4,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:37 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:37 PST 2017,NA,NA,32KTQ2V7RDFCSAWQOW1SXC5AZIC9MB,A231MNJJDDF3LS,Approved,Thu Feb 16 05:32:36 PST 2017,Thu Feb 16 05:35:37 PST 2017,Thu Feb 16 05:36:37 PST 2017,2017-02-16 13:37:11 UTC,NA,NA,181,100% (187/187),100% (187/187),100% (187/187),http://www.mlsli.com/homes-for-sale/address-not-available-from-broker-Flushing-NY-11355-149238320,1955,no,$767 ,25,co-op,2/16/2016,combo,no,gas,"Flushing NY, 11355",NA,eat in,NA,Mitchell Garden 3,2,6,1,NA,5,NA,NA,"$228,000 ",NA,NA,82,NA,NA
3MQY1YVHS3K2MF90MWR2LPQH7KJ2B0,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:37 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:37 PST 2017,NA,NA,35LDD5557A4W96FHSTSHNLJQAB7MKZ,A394B5QVCVKU7A,Approved,Wed Feb 15 22:19:51 PST 2017,Wed Feb 15 22:21:52 PST 2017,Wed Feb 15 22:22:52 PST 2017,2017-02-16 06:23:11 UTC,NA,NA,121,100% (8/8),100% (8/8),100% (8/8),http://www.mlsli.com/homes-for-sale/30-11-Parsons-Blvd-Flushing-NY-11354-155242811,1955,no,NA,25,co-op,2/16/2016,formal,no,oil,"30-11 Parsons Blvd,  Flushing NY, 11354 ( Sold )      Share",NA,eat in,$604 ,Jr-4 Model,1,7,1,NA,4,NA,NA,"$235,500 ",890,NA,89,NA,NA
3DGDV62G7O94Q9AA5193G9V6OOY2PL,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:41 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:41 PST 2017,NA,NA,3FFJ6VRIL1O80XIM3LK7C8X0F5U0I6,A231MNJJDDF3LS,Approved,Thu Feb 16 03:17:01 PST 2017,Thu Feb 16 03:19:01 PST 2017,Thu Feb 16 03:20:01 PST 2017,2017-02-16 11:20:11 UTC,NA,NA,120,100% (187/187),100% (187/187),100% (187/187),http://www.mlsli.com/homes-for-sale/102-14-Lewis-Ave-Corona-NY-11368-157084557,2004,no,$167 ,24,condo,2/17/2016,combo,no,NA,"102-14 Lewis Ave,  Corona NY, 11368",NA,efficiency,NA,Apt In Bldg,1,1,1,NA,3,NA,NA,"$137,550 ",550,"$5,500 ",90,NA,NA
3087LXLJ6MGL3MI2CB9KLRONPKRF0B,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:33 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:33 PST 2017,NA,NA,3S4AW7T80BIRPM8T7P4MGRF5DL74L7,AHXBZXWIZJSVG,Approved,Thu Feb 16 04:54:24 PST 2017,Thu Feb 16 04:57:04 PST 2017,Thu Feb 16 04:58:04 PST 2017,2017-02-16 12:58:11 UTC,NA,NA,160,100% (115/115),100% (115/115),100% (103/103),http://www.mlsli.com/homes-for-sale/144-48-Roosevelt-Ave-Flushing-NY-11354-155322796,2002,no,$275 ,25,condo,2/17/2016,combo,no,gas,"144-48 Roosevelt Ave,  Flushing NY, 11354",NA,eat in,NA,144-48 Roosevelt,3,NA,2,NA,5,NA,NA,"$545,000 ",NA,"$2,260 ",94,NA,NA
3FULMHZ7OUX88KSKHZ0ZSKY93XJ4MN,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:38 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:38 PST 2017,NA,NA,3JMSRU9HQIUCDTHGAZI5CMPYH7REVS,A231MNJJDDF3LS,Approved,Wed Feb 15 23:54:29 PST 2017,Wed Feb 15 23:56:45 PST 2017,Wed Feb 15 23:57:45 PST 2017,2017-02-16 07:58:11 UTC,NA,NA,136,100% (187/187),100% (187/187),100% (187/187),http://www.mlsli.com/homes-for-sale/245-27-76th-Ave-Bellerose-NY-11426-161280694,1949,yes,NA,26,co-op,2/18/2016,combo,yes,gas,"245-27 76th Ave,  Bellerose NY, 11426",NA,eat in,$660 ,C-1,2,2,1,NA,4,NA,39,"$241,700 ",675,NA,71,NA,NA
3MXX6RQ9EV5ETNPX9FSR9OS482U4PJ,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:39 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:39 PST 2017,NA,NA,3D4CH1LGEATC0004DT3XK7LD3VOG9W,A2IK0U8DSDME6R,Approved,Thu Feb 16 00:17:58 PST 2017,Thu Feb 16 00:22:07 PST 2017,Thu Feb 16 00:23:07 PST 2017,2017-02-16 08:23:11 UTC,NA,NA,249,100% (14/14),100% (14/14),100% (14/14),http://www.mlsli.com/homes-for-sale/124-16-84-Rd-Kew-Gardens-NY-11415-161163817,1938,yes,NA,28,co-op,2/18/2016,combo,yes,oil,"124-16 84 Rd,  Kew Gardens NY, 11415",NA,eat in,$932 ,Simplex,2,6,1,NA,4,NA,NA,"$250,000 ",1000,NA,90,NA,NA
3ZICQFRS31IOAOFSHHGJUI7RJW3ZZA,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:42 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:42 PST 2017,NA,NA,39ASUFLU6X74HIMBAEJN07MJXJBXES,A231MNJJDDF3LS,Approved,Thu Feb 16 05:05:03 PST 2017,Thu Feb 16 05:06:28 PST 2017,Thu Feb 16 05:07:28 PST 2017,2017-02-16 13:08:11 UTC,NA,NA,85,100% (187/187),100% (187/187),100% (187/187),http://www.mlsli.com/homes-for-sale/197-09-Dunton-Ave-Holliswood-NY-11423-141486424,1950,no,NA,29,co-op,2/19/2016,combo,no,gas,"197-09 Dunton Ave,  Holliswood NY, 11423",NA,efficiency,$660 ,Garden Apartment,1,NA,1,NA,3,NA,NA,"$145,000 ",NA,NA,72,NA,NA
3MJ9GGZYO36X3548GIR6QE6BP2Y2A5,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:37 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:37 PST 2017,NA,NA,3CN4LGXD5XOBPLFSQ4TCAZH1M0EY4W,A3S6UWT0JNCJFE,Approved,Thu Feb 16 06:58:25 PST 2017,Thu Feb 16 07:00:37 PST 2017,Thu Feb 16 07:01:37 PST 2017,2017-02-16 15:02:11 UTC,NA,NA,132,100% (75/75),100% (75/75),100% (63/63),http://www.mlsli.com/homes-for-sale/76-26-113-St-Forest-Hills-NY-11375-160981901,1960,no,NA,28,co-op,2/19/2016,NA,no,gas,"76-26 113 Street, Forest Hills, NY 11375",NA,efficiency,$514 ,Whitehall Terrace,0,2,1,NA,2,NA,NA,"$109,000 ",375,NA,93,NA,NA
3R5OYNIC2C9YA84NOGTZHW4WO1BPT0,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:51 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:51 PST 2017,NA,NA,36AHBNMV1RCOPHYLJFU5D3B7ZD8DYP,A1SAMLI9AUPHEJ,Approved,Thu Feb 16 07:03:32 PST 2017,Thu Feb 16 07:06:50 PST 2017,Thu Feb 16 07:07:50 PST 2017,2017-02-16 15:08:11 UTC,NA,NA,198,100% (129/129),100% (129/129),100% (39/39),http://www.mlsli.com/homes-for-sale/209-15-18th-Ave-Bayside-NY-11360-148727888,1960,no,NA,25,co-op,2/22/2016,NA,no,oil,"209-15 18th Ave,  Bayside NY, 11360",NA,eat in,$781 ,Jr4/1Bedroom&Poss 2>,1,NA,1,NA,4,$20 ,NA,"$212,000 ",NA,NA,70,NA,NA
311HQEI8RSG5QE9MYMO03YES93QZ7I,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,NA,$0.05 ,Wed Feb 15 22:13:33 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:33 PST 2017,NA,NA,3AUQQEL7U5TDM32M2SJQRXNUN7SV00,A1KH9UPH0D74QJ,Approved,Thu Feb 16 04:36:16 PST 2017,Thu Feb 16 04:38:26 PST 2017,Thu Feb 16 04:39:26 PST 2017,2017-02-16 12:40:11 UTC,NA,NA,130,100% (80/80),100% (80/80),100% (80/80),http://www.mlsli.com/homes-for-sale/32-86-41st-St-Astoria-NY-11102-171541052,2005,no,NA,30,condo,2/22/2016,other,no,NA,"32-86 41st St,  Astoria NY, 11102",NA,eat in,NA,Condo,1,4,1,NA,3,NA,NA,"$535,000 ",681,"$1,320 ",98,NA,NA
